"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","id","media/0/media_url","media/0/type","reply_count","retweet_count","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","user/created_at","user/default_profile_image","user/description","user/fast_followers_count","user/favourites_count","user/followers_count","user/friends_count","user/has_custom_timelines","user/id_str","user/is_translator","user/listed_count","user/location","user/media_count","user/name","user/normal_followers_count","user/possibly_sensitive","user/profile_banner_url","user/profile_image_url_https","user/protected","user/screen_name","user/statuses_count","user/translator_type","user/url","user/verified","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name"
"1608356861111328769","2022-12-29T06:58:52.000Z","188","With the current tariff structure CEB total revenue for Oct was Rs 33.6 Billion &amp; Nov was Rs 35.6 Billion. CEB requirement of HFO, Naptha &amp; Diesel to operate power stations for the Month of January is Rs 35 Billion. Requirement for Coal payments for January is Rs 38.45 Billion.",,,"1608356861111328769",,,"102","29","https://twitter.com/kanchana_wij/status/1608356861111328769",,,,"2013-09-04T14:26:54.000Z","false","Trinitian and Royalist, Politician, Minister of Power and Energy, Member of Parliament for the Matara District, SLPP","0","1649","46411","250","true","1728931304","false","73","Sri Lanka ","665","Kanchana Wijesekera","46411","false","https://pbs.twimg.com/profile_banners/1728931304/1605721707","https://pbs.twimg.com/profile_images/1583826059253915650/S2wjE6MX_normal.jpg","false","kanchana_wij","1690","none",,"false",,,,,,
"1608356861111328769","2022-12-29T10:15:43.000Z","134","CEB Total Salaries &amp; Allowances for September, October &amp; November 👇🏾
Ranges from Rs 3.5 Billion to Rs 3.7 Billion Monthly. 
1100+ employees set to retire in 2023.  No new recruitments will be made. https://t.co/EkS1nilcJt",,,"1608406402267217923","https://pbs.twimg.com/media/FlI1FulXEAIJhhx.jpg","photo","41","19","https://twitter.com/kanchana_wij/status/1608406402267217923",,,,"2013-09-04T14:26:54.000Z","false","Trinitian and Royalist, Politician, Minister of Power and Energy, Member of Parliament for the Matara District, SLPP","0","1649","46411","250","true","1728931304","false","73","Sri Lanka ","665","Kanchana Wijesekera","46411","false","https://pbs.twimg.com/profile_banners/1728931304/1605721707","https://pbs.twimg.com/profile_images/1583826059253915650/S2wjE6MX_normal.jpg","false","kanchana_wij","1690","none",,"false",,,,,,
"1608356861111328769","2022-12-29T07:02:19.000Z","16","@kanchana_wij Fire the staff, bloated inefficient public sector 👌🏽💨",,,"1608357730045276162",,,"0","0","https://twitter.com/Maheshalk/status/1608357730045276162",,,,"2010-01-17T20:49:02.000Z","false","Full time NFT dealer, part time hustler 🎨🖼","0","2316","162","639","false","105887971","false","14","Sri Lanka","147","⚡️Alke⚡️","162","false",,"https://pbs.twimg.com/profile_images/938825204221886465/iuwM32A8_normal.jpg","false","Maheshalk","3867","none",,"false","1728931304","Kanchana Wijesekera","kanchana_wij",,,
"1608356861111328769","2022-12-29T07:05:41.000Z","7","@kanchana_wij Cut the cost, stop paying bonus send home ineffective employees",,,"1608358577160486913",,,"0","0","https://twitter.com/ramadaswho/status/1608358577160486913",,,,"2021-08-23T17:01:36.000Z","false","","0","462","10","98","false","1429851272719396865","false","0","","1","Naveen","10","false",,"https://pbs.twimg.com/profile_images/1429851515334762523/nvage_jf_normal.jpg","false","ramadaswho","188","none",,"false","1728931304","Kanchana Wijesekera","kanchana_wij",,,
"1608356861111328769","2022-12-29T07:06:55.000Z","10","@kanchana_wij Over 20,000 individuals working for CEB, is it essential to maintain such a huge work force? Restructure the CEB and privatisation is the only way forward...",,,"1608358886423293954",,,"1","0","https://twitter.com/ilhaminformed/status/1608358886423293954",,,,"2022-08-13T14:27:22.000Z","false","Resourceful, Focused, Reliable","0","257","7","258","false","1558459879404322818","false","0","","0","Ilham Iqbal","7","false",,"https://pbs.twimg.com/profile_images/1558460204890685440/-_IDsFfJ_normal.png","false","ilhaminformed","36","none",,"false","1728931304","Kanchana Wijesekera","kanchana_wij",,,
"1608356861111328769","2022-12-29T07:12:27.000Z","24","@kanchana_wij විදුලි ගාස්තුව වැඩි කරාට කමක් නෑ.රටේ දැන් ජීවන වියදම අඩු වෙන නිසා මිනිස්සුන්ට විදුලි බිල ගැන ප්‍රෂ්ණ නෑ.පුලුවන් නම් පන්සල් වලට දෙන විදුලි සහනය ඉක්මන් කරන්න.පාර්ලිමේන්තුවේ 225න් විදුලි බිල නොගෙවපු අයගේ බිල නොගෙව්වා කියලා ප්‍රෂ්ණයක් නෑ.මේ වෙලාවෙ ආණ්ඩුව ආරක්ෂා කරගමු!✊❤️",,,"1608360280597368834",,,"2","0","https://twitter.com/Loli_Lahiru/status/1608360280597368834",,,,"2020-04-30T10:05:57.000Z","false","IR Grad🎓| Libertarian | 🇱🇰🇺🇸🏳️‍🌈","0","4350","170","300","false","1255800337862217728","false","1","Sri Lanka","182","Lahiru Lolimbawansa","170","false","https://pbs.twimg.com/profile_banners/1255800337862217728/1622963805","https://pbs.twimg.com/profile_images/1605937596873740288/sZMu_Haj_normal.jpg","false","Loli_Lahiru","1418","none",,"false","1728931304","Kanchana Wijesekera","kanchana_wij",,,
"1608356861111328769","2022-12-29T07:28:44.000Z","5","@kanchana_wij Show the breakdown of expenses of CEB including ministry n its expences. Jan pay u meant for shipment of jan for a period or jan electricity generation cost from coal. Need transparent buying. govt must absorb cost to help people. A Govt is not to make profit but to help ppl too",,,"1608364376674951168",,,"0","0","https://twitter.com/susanthadahana1/status/1608364376674951168",,,,"2016-03-04T05:28:38.000Z","false","Countryman. (opinions are strictly  personal)","0","943","16","97","true","705625982560968704","false","0","Colombo","5","Susantha","16","false",,"https://pbs.twimg.com/profile_images/764060985946574848/qFl-lOCj_normal.jpg","false","susanthadahana1","403","none",,"false","1728931304","Kanchana Wijesekera","kanchana_wij",,,
"1608356861111328769","2022-12-29T07:30:22.000Z","3","@kanchana_wij 35 billion is not usage but payment . 35 billion is around 2 months usage ? If wrong Please correct ?  month coal cost is around 185/12 = 15.5 billion (max 20 billion with freight)
@pucslofficial #srilanka #lka https://t.co/nNwcMkzTU4","srilanka","lka","1608364788215844865",,,"0","2","https://twitter.com/VisadumSystem/status/1608364788215844865","twitter.com/VisadumSystem/…","https://twitter.com/VisadumSystem/status/1607772528969412610","https://t.co/nNwcMkzTU4","2013-07-16T02:45:05.000Z","false","","0","9607","199","0","true","1597347326","false","8","Sri Lanka","1939","Visadum System 🇱🇰","199","false",,"https://pbs.twimg.com/profile_images/1329999292371767298/RIoA84q3_normal.jpg","false","VisadumSystem","9789","none",,"false","1728931304","Kanchana Wijesekera","kanchana_wij","836777652677722112","PUCSL","pucslofficial"
"1608356861111328769","2022-12-29T07:36:24.000Z","6","@kanchana_wij But you never answered the question on why you bought the most expensive fuel offers!",,,"1608366308613132288",,,"1","0","https://twitter.com/VElangasinghe/status/1608366308613132288",,,,"2013-06-23T08:42:56.000Z","false","Consultant Adult and Paediatric Dermatologist, researcher/scientist,
Buddhist philosopher,
Cricket enthusiast,
an appachi X 4, foodie scared of baking","0","811","159","128","false","1540503415","false","1","Manchester; Sheffield ","51","Vinod Elangasinghe","159","false",,"https://pbs.twimg.com/profile_images/1260391600032821248/O4Nj2uya_normal.jpg","false","VElangasinghe","1170","none",,"false","1728931304","Kanchana Wijesekera","kanchana_wij",,,
"1608356861111328769","2022-12-29T07:36:27.000Z","4","@kanchana_wij ට්වීට් හුත්තා 😂 නාමල්ගේ කුක්කා",,,"1608366319610761216",,,"0","0","https://twitter.com/DammikaGabadage/status/1608366319610761216",,,,"2018-01-19T08:34:46.000Z","false","","0","45","18","20","false","954270662591303680","false","1","Maharagama","41","UDG","18","false",,"https://pbs.twimg.com/profile_images/1502876939727499264/zqVyiebI_normal.jpg","false","DammikaGabadage","2395","none",,"false","1728931304","Kanchana Wijesekera","kanchana_wij",,,
